P8,1,CONN_9,,"Connector,Header,2.54mm,01x09,Vertical,15.0uin Gold,Contact Mating Length=8.13mm",Molex,22284094
P11,1,CONN_01X02,,"Connector,header,2.54mm,vertical,1x2,15.0uin Gold,Contact Mating Length=8.13mm",Molex,22284024
P12,1,CONN_01X03,,"Connector,Terminal Block,Combicon,3.5mm,45°",Phoenix ,1988969
P14,1,CONN_01X03,,"Connector,Terminal Block,Combicon,5mm,0°",Phoenix ,1987737
"Q1, Q2, Q3, Q4, Q5, Q6",6,IRF5406,8-PQFN,"Mosfet,N-Channel,60V,8-PQFN",Infineon,IRFH5406TRPBF
"R1, R2, R20, R29, R33, R34, R53, R61, R76, R77, R78, R79, R80, R81, R82, R84",16,1.47k,Resistors_SMD:R_0603,"Resistor,1.47k,1%, 1/10W 0603",Yageo,RC0603FR-071K47L
"R3, R4, R5, R6, R7, R8, R9, R10, R21, R22",10,56k,Resistors_SMD:R_0603,"Resistor,56k,1%,100mw,0603,100ppm",Samsung,RC1608F563CS
"R11, R12, R13, R14, R15, R16, R17, R18",8,0.09,Resistors_SMD:R_1206,"Resistor,Current Sense,91mOhms,1%,0.5W,1206",TE Connectivity,RLP73N2BR091FTD
"R19, R25, R26, R27, R30, R31, R32, R54, R55, R56, R59, R60, R63, R83",14,1k,Resistors_SMD:R_0603,"Resistor,1K OHM 1% 1/10W 0603",Samsung,RC1608F102CS
"R23, R39, R41, R42, R44, R46, R47, R48, R52, R64, R68, R70, R72",13,47,Resistors_SMD:R_0603,"Resistor,47,1%, 1/10W 0603",Samsung,RC1608F470CS
"R24, R28, R35, R36, R37, R62, R65, R66",8,DNP,Resistors_SMD:R_0603,"Resistor, NOT POPULATED",,
"R38, R57, R58",3,0.005,Resistors_SMD:R_1206,"Resistor,Current Sense,5mOhms,1%,1W,1206",Ohmite,LVT12R0050FER
"R40, R43, R45, R49, R50, R51",6,470k,Resistors_SMD:R_0603,"Resistor,470k,1%, 1/10W 0603",Samsung,RC1608F474CS
"R67, R69, R71, R73, R74, R75",6,24.3k,Resistors_SMD:R_0603,"Resistor,24.3k,1%,1\10W, 0603",Yageo,RC0603FR-0724K3L
"U1, U2, U3, U4",4,DRV8818,28-HTSSOP,"IC,Driver,Half Bridge,28-HTSSOP",Texas Instruments,DRV8818PWPR
U5,1,A4910,LQFP_48,"IC,Motor Driver,CMOS,Serial,48-LQFP-EP (7x7)",Allegro,A4910KJPTR-T
Y1,1,16MHz,SMD_2016-4pin_2.0x1.6mm,"Crystal,16.0000MHz,12pF,SMD",ECS Inc,ECS-160-12-37B-CTN-TR
,,,,,,
LED BOARD,,,,,,
Component Count:,9,,,,,
Reference Designator,Quantity,Value,Footprint,Description,Manufacturer,MFPN
J2,1,,,"Connector,Header,Right Angle,2.54mm,01x05,15.0uin Gold,Contact Mating Length=6.20mm",Molex,22288052
J1,1,,,"Connector,DC Power,Horizontal,Shielded,2.5x6.0mm",CUI Devices,PJ-076B
D1,1,,,"LED,SM,R/A,Green,571nm,2V,0603",Lite-On,LTST-S270KGKT
"D2, D3, D4, D5, D6, D7",6,,,"LED Lighting WL-SWTP White, Neutral 4000K 3V 20mA 120° 1206 (3014 Metric)",Wurth Elektronik,158301240
